Iteration Count: 1 , Perplexity: 79669.923195686890
Iteration Count: 2 , Perplexity: 86267.674102423291
Iteration Count: 3 , Perplexity: 72260.353606707344
Iteration Count: 4 , Perplexity: 75132.407659270946
Iteration Count: 5 , Perplexity: 68932.602913071169
Iteration Count: 6 , Perplexity: 71197.833410828971
Iteration Count: 7 , Perplexity: 67782.537784543660
Iteration Count: 8 , Perplexity: 69379.577414052619
Iteration Count: 9 , Perplexity: 67383.707558883951
Iteration Count: 10 , Perplexity: 68477.801883438122
Iteration Count: 11 , Perplexity: 67207.184796266331
Iteration Count: 12 , Perplexity: 68004.153883664825
Iteration Count: 13 , Perplexity: 67138.955379512539
Iteration Count: 14 , Perplexity: 67708.259390803461
Iteration Count: 15 , Perplexity: 67131.663934578071
Iteration Count: 16 , Perplexity: 67524.476913677267
Iteration Count: 17 , Perplexity: 67132.111091070125
Iteration Count: 18 , Perplexity: 67413.710121856740
Iteration Count: 19 , Perplexity: 67138.849814488887
Iteration Count: 20 , Perplexity: 67339.825438977015
Iteration Count: 21 , Perplexity: 67149.785006169812
Iteration Count: 22 , Perplexity: 67290.830658003382
Iteration Count: 23 , Perplexity: 67158.762079047287
Iteration Count: 24 , Perplexity: 67259.225745440897
Iteration Count: 25 , Perplexity: 67166.029380675900
Iteration Count: 26 , Perplexity: 67237.780226116156
Iteration Count: 27 , Perplexity: 67172.320507311117
Iteration Count: 28 , Perplexity: 67223.127439019750
Iteration Count: 29 , Perplexity: 67177.144372944080
Iteration Count: 30 , Perplexity: 67213.319451850548
Iteration Count: 31 , Perplexity: 67180.751138119216
Iteration Count: 32 , Perplexity: 67206.597577394336
Iteration Count: 33 , Perplexity: 67183.549121147211
Iteration Count: 34 , Perplexity: 67201.933103269446
Iteration Count: 35 , Perplexity: 67185.632388844242
Iteration Count: 36 , Perplexity: 67198.742093141656
Iteration Count: 37 , Perplexity: 67187.159395547555
Iteration Count: 38 , Perplexity: 67196.525718542573
Iteration Count: 39 , Perplexity: 67188.298333547500
Iteration Count: 40 , Perplexity: 67194.979376151241
Iteration Count: 41 , Perplexity: 67189.132160530702
Iteration Count: 42 , Perplexity: 67193.903629700901
Iteration Count: 43 , Perplexity: 67189.740378046205
Iteration Count: 44 , Perplexity: 67193.150738264230
Iteration Count: 45 , Perplexity: 67190.184735738803
Iteration Count: 46 , Perplexity: 67192.621374028720
Iteration Count: 47 , Perplexity: 67190.507883307349
Iteration Count: 48 , Perplexity: 67192.250355014738
Iteration Count: 49 , Perplexity: 67190.742380312309
Iteration Count: 50 , Perplexity: 67191.988796084115
Iteration Count: 51 , Perplexity: 67190.912901973366
Iteration Count: 52 , Perplexity: 67191.804426971430
Iteration Count: 53 , Perplexity: 67191.036087000539
Iteration Count: 54 , Perplexity: 67191.674336080323
Iteration Count: 55 , Perplexity: 67191.125329923583
